ga_label,ga_weeks,measure,sex,value,z_level
27,27.0,length,male,30.53,-1.0
27,27.0,length,male,32.71,0.0
27,27.0,length,male,35.05,1.0
27,27.0,length,male,37.56,2.0
27,27.0,length,male,40.25,3.0
28,28.0,length,male,28.56,-3.0
28,28.0,length,male,30.44,-2.0
28,28.0,length,male,32.44,-1.0
28,28.0,length,male,34.57,0.0
28,28.0,length,male,36.84,1.0
28,28.0,length,male,39.26,2.0
28,28.0,length,male,41.84,3.0
29,29.0,length,male,30.45,-3.0
29,29.0,length,male,32.3,-2.0
29,29.0,length,male,34.26,-1.0
29,29.0,length,male,36.34,0.0
29,29.0,length,male,38.55,1.0
29,29.0,length,male,40.89,2.0
29,29.0,length,male,43.37,3.0
30,30.0,length,male,32.24,-3.0
30,30.0,length,male,34.06,-2.0
30,30.0,length,male,35.99,-1.0
30,30.0,length,male,38.02,0.0
30,30.0,length,male,40.17,1.0
30,30.0,length,male,42.45,2.0
30,30.0,length,male,44.85,3.0
31,31.0,length,male,33.93,-3.0
31,31.0,length,male,35.73,-2.0
31,31.0,length,male,37.63,-1.0
31,31.0,length,male,39.62,0.0
31,31.0,length,male,41.72,1.0
31,31.0,length,male,43.93,2.0
31,31.0,length,male,46.26,3.0
32,32.0,length,male,35.54,-3.0
32,32.0,length,male,37.31,-2.0
32,32.0,length,male,39.18,-1.0
32,32.0,length,male,41.14,0.0
32,32.0,length,male,43.2,1.0
32,32.0,length,male,45.36,2.0
32,32.0,length,male,47.63,3.0
33,33.0,length,male,37.05,-3.0
33,33.0,length,male,38.81,-2.0
33,33.0,length,male,40.65,-1.0
33,33.0,length,male,42.58,0.0
33,33.0,length,male,44.6,1.0
33,33.0,length,male,46.72,2.0
33,33.0,length,male,48.94,3.0
34,34.0,length,male,38.49,-3.0
34,34.0,length,male,40.23,-2.0
34,34.0,length,male,42.05,-1.0
34,34.0,length,male,43.96,0.0
34,34.0,length,male,45.95,1.0
34,34.0,length,male,48.03,2.0
34,34.0,length,male,50.2,3.0
35,35.0,length,male,39.84,-3.0
35,35.0,length,male,41.57,-2.0
35,35.0,length,male,43.38,-1.0
35,35.0,length,male,45.26,0.0
35,35.0,length,male,47.23,1.0
35,35.0,length,male,49.28,2.0
35,35.0,length,male,51.41,3.0
36,36.0,length,male,41.12,-3.0
36,36.0,length,male,42.84,-2.0
36,36.0,length,male,44.64,-1.0
36,36.0,length,male,46.5,0.0
36,36.0,length,male,48.45,1.0
36,36.0,length,male,50.47,2.0
36,36.0,length,male,52.58,3.0
37,37.0,length,male,42.33,-3.0
37,37.0,length,male,44.05,-2.0
37,37.0,length,male,45.83,-1.0
37,37.0,length,male,47.69,0.0
37,37.0,length,male,49.62,1.0
37,37.0,length,male,51.62,2.0
37,37.0,length,male,53.71,3.0
38,38.0,length,male,43.48,-3.0
38,38.0,length,male,45.19,-2.0
38,38.0,length,male,46.97,-1.0
38,38.0,length,male,48.81,0.0
38,38.0,length,male,50.73,1.0
38,38.0,length,male,52.73,2.0
38,38.0,length,male,54.8,3.0
39,39.0,length,male,44.56,-3.0
39,39.0,length,male,46.27,-2.0
39,39.0,length,male,48.04,-1.0
39,39.0,length,male,49.89,0.0
39,39.0,length,male,51.8,1.0
39,39.0,length,male,53.79,2.0
39,39.0,length,male,55.85,3.0
40,40.0,length,male,45.59,-3.0
40,40.0,length,male,47.3,-2.0
40,40.0,length,male,49.07,-1.0
40,40.0,length,male,50.91,0.0
40,40.0,length,male,52.82,1.0
40,40.0,length,male,54.81,2.0
40,40.0,length,male,56.86,3.0
41,41.0,length,male,46.56,-3.0
41,41.0,length,male,48.27,-2.0
41,41.0,length,male,50.05,-1.0
41,41.0,length,male,51.89,0.0
